Item name,SKU,Category,Items sold,Gross sales,Items refunded,Refunds,Discounts,Net sales,Cost of goods,Gross profit,Margin,Taxes
16GB (2X8GB) OCPC XTREME RGB DDR4 3200MHZ (DISCOUNT),10493,Big Letter,1.000,4500.00,0.000,0.00,0.00,4500.00,0.00,4500.00,100.00%,0.00
16gb ddr4 skihotar ram 3200 mhz brandnew (discounted),10593,No category,7.000,19799.00,0.000,0.00,0.00,19799.00,10852.66,8946.34,45.19%,0.00
16GB LAPTOP RAM KINGSTON (DISCOUNT),10071,Ram,13.000,31792.00,0.000,0.00,0.00,31792.00,20800.00,10992.00,34.57%,0.00
16gb Ramsta 2666 mhz 1x16 ddr4 (discount),10269,No category,5.000,16250.00,0.000,0.00,0.00,16250.00,2931.18,13318.82,81.96%,0.00
16gb Ramsta 2666 mhz 1x16 ddr4 (ws),10640,No category,8.000,14200.00,0.000,0.00,0.00,14200.00,11736.00,2464.00,17.35%,0.00
16gb Ramsta 3200 mhz 1x16 (discount),10190,No category,5.000,17500.00,0.000,0.00,0.00,17500.00,9683.35,7816.65,44.67%,0.00
16GB SD CARD SANDISK (DISCOUNT),10777,Accessories,124.000,35167.00,0.000,0.00,186.58,34980.42,23974.88,11005.54,31.46%,121.71
16GB SD CARD SANDISK (WS),10778,Accessories,5.000,1096.00,0.000,0.00,0.00,1096.00,1079.10,16.90,1.54%,0.00
19 inch surplus assoterd 7days warrnty (19 dell),10678,No category,14.000,18300.00,0.000,0.00,0.00,18300.00,15400.00,2900.00,15.85%,0.00
19 inch surplus assoterd 7days warrnty (Hp),10704,No category,11.000,14200.00,0.000,0.00,0.00,14200.00,12100.00,2100.00,14.79%,0.00
19 inch surplus assoterd 7days warrnty (dell),10675,No category,10.000,13000.00,0.000,0.00,0.00,13000.00,11000.00,2000.00,15.38%,13.00
19 inch surplus assoterd 7days warrnty (lenovo),10448,No category,4.000,5350.00,0.000,0.00,0.00,5350.00,4400.00,950.00,17.76%,0.00
19 inches assorted surplus monitor (19 inches w/o free),10275,No category,33.000,39764.00,3.000,3450.00,0.00,36314.00,20441.04,15872.96,43.71%,0.00
19 inches assorted surplus monitor (cord),10462,No category,42.000,34729.90,2.000,110.00,2848.19,31771.71,22378.20,9393.51,29.57%,2690.50
19 inches assorted surplus monitor (vga blue),10464,No category,55.000,4370.00,0.000,0.00,0.00,4370.00,0.00,4370.00,100.00%,0.00
19 inches nvision n190v8 (discounted),10587,No category,74.000,128124.00,0.000,0.00,0.00,128124.00,107975.24,20148.76,15.73%,35.10
19 inches nvision n190v8 (sale),10148,No category,7.000,11200.00,0.000,0.00,0.00,11200.00,10303.09,896.91,8.01%,0.00
19 inches nvision n190v8 (wholesale),10148,No category,153.000,267734.66,7.000,11964.00,3003.75,252766.91,219057.73,33709.18,13.34%,2101.48
19 inches nvision n190v8 (ws),10660,No category,13.000,20376.00,0.000,0.00,0.00,20376.00,19149.00,1227.00,6.02%,0.00
1gb gt730/gtx 650ti/gt635 2gb (discount),10646,No category,7.000,12950.00,0.000,0.00,0.00,12950.00,10850.00,2100.00,16.22%,0.00
1gb gt730/gtx 650ti/gt635 2gb (discount),10646,No category,1.000,1700.00,0.000,0.00,0.00,1700.00,1200.00,500.00,29.41%,0.00
1gb gt730/gtx 650ti/gt635 2gb (ws),10647,No category,4.000,5800.00,0.000,0.00,0.00,5800.00,4800.00,1000.00,17.24%,0.00
1TB BIWIN SSD,10223,Ssd & storage,1.000,7500.00,0.000,0.00,0.00,7500.00,0.00,7500.00,100.00%,0.00
1tb HDD 3.5 refurbished seagate / toshiba / WD 3days warranty (discount),10808,Ssd & storage,22.000,33895.00,0.000,0.00,0.00,33895.00,18787.50,15107.50,44.57%,0.00
1tb HDD 3.5 refurbished seagate / toshiba / WD 3days warranty (ws),10809,Ssd & storage,6.000,9343.00,0.000,0.00,0.00,9343.00,5258.16,4084.84,43.72%,0.00
1TB HDD STORAGE,10181,Ssd & storage,2.000,2800.00,0.000,0.00,0.00,2800.00,0.00,2800.00,100.00%,0.00
